⚽世界杯,#genre#
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV5,https://live01-cn-ali.bvjicd.com/live/43639555.m3u8
CCTV5,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV5,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV5,http://tv.zhangzp.top:4022/udp/239.125.2.54:4120
CCTV5,http://121.57.88.206:898/hls/5/index.m3u8
CCTV5,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
咪咕直播⁴ᵏ
HKNOW,http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465863.ts#http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465861.ts
HKNOW⁴ᵏ,http://host-aurora.vip:80/play/live.php?mac=00:1a:79:31:c2:72&stream=2075515&extension=ts&play_token=hj7ju3RetU
HKNOW⁴ᵏ,http://tectonbrand.com:80/4KYD2C92D/1Z6BCL4/438866#http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465865.ts#http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/465864.ts
HKNOW⁴ᵏ,http://mag.greatott.me:80/play/live.php?mac=00:1A:79:74:B1:B9&stream=2095898&extension=ts&play_token=1qHzIcYuYs#http://mag.greatott.me:80/play/live.php?mac=00:1A:79:74:B1:B9&stream=2095897&extension=ts&play_token=vG5XGcNqrZ
HKNOW⁴ᵏ,http://89.187.179.148:826/anto.j/c9yJDcXyPe/120336
video,https://xzb-vod.52kq.top/64664c68vodsgp1386416388/da29205b5001834811814953252/playlist_eof.m3u8?t=6a572e0a&us=258c6bc03e&sign=677aa91f7f646eedceb7ed7189868c8d

🇬🇬世界新闻,#genre#
BBC,https://naori-test.netgenx.site/pxx.php?shk_cid=cs15
CNN,https://naori-test.netgenx.site/pxx.php?shk_cid=cs16
BBC,http://58.82.168.138:5002/cs15.m3u8?token=guoziyun&gid=cs15&channel=zhongying
CNN,http://58.82.168.138:5002/cs16.m3u8?token=guoziyun&gid=cs16&channel=zhongying

BBC,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8

BBC,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/250.ts
CNN,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/253.ts

BBC/live.php?ch=1666&sid=33e6572106d67b0e17d9db8fc5dd4a37&exp=1783873269&sig=e0ba8759159ffc3ffab7d13f58d8ff6aeea285bbc694d992a06cd68b24fec483
